image_name,strategy,build_success,build_time_sec,error_category,vulns_before_total,vulns_after_total,reduction_pct,new_vulns_introduced,crit_before,high_before,med_before,low_before,crit_after,high_after,med_after,low_after,size_before_mb,size_after_mb,acceptance,base_before,base_after,os_family,notes
php-7.4-apache,Copacetic,False,0.75,COPA_FAILURE,6212,6212,0.0,0,43,1348,3868,929,43,1348,3868,929,155.71,0.0,False,php:7.4-apache,,debian,"Copa error: time=""2026-03-28T07:55:53Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-php-7.4-apache-or"
php-7.4-apache,Docker-Scout,False,0.0,SCOUT_NO_REC,6212,6212,0.0,0,43,1348,3868,929,43,1348,3868,929,155.71,0.0,False,php:7.4-apache,,debian,No recommendation
php-7.4-apache,AutoPatch,True,1.06,,6212,6212,0.0,0,43,1348,3868,929,43,1348,3868,929,155.71,155.71,False,php:7.4-apache,php:7.4-apache,debian,os=debian
php-8.0,Scan-Only,True,60.88,,4649,4649,0.0,0,15,966,2828,820,15,966,2828,820,159.82,159.82,False,php:8.0,,debian,
php-8.0,Naive-Latest,True,68.48,,4649,796,82.88,103,15,966,2828,820,0,38,156,594,159.82,180.12,False,php:8.0,,debian,
php-8.0,Copacetic,False,0.66,COPA_FAILURE,4649,4649,0.0,0,15,966,2828,820,15,966,2828,820,159.82,0.0,False,php:8.0,,debian,"Copa error: time=""2026-03-28T07:59:40Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-php-8.0-orig:v3-p"
php-8.0,Docker-Scout,False,0.0,SCOUT_NO_REC,4649,4649,0.0,0,15,966,2828,820,15,966,2828,820,159.82,0.0,False,php:8.0,,debian,No recommendation
php-8.0,AutoPatch,True,12.31,,4649,13,99.72,2,15,966,2828,820,0,4,9,0,159.82,31.23,True,php:8.0,php:8.0-alpine,debian,os=debian
php-8.0-fpm,Scan-Only,True,8.48,,4649,4649,0.0,0,15,966,2828,820,15,966,2828,820,152.78,152.78,False,php:8.0-fpm,,debian,
php-8.0-fpm,Naive-Latest,True,1.0,,4649,796,82.88,103,15,966,2828,820,0,38,156,594,152.78,180.12,False,php:8.0-fpm,,debian,
php-8.0-fpm,Copacetic,False,0.67,COPA_FAILURE,4649,4649,0.0,0,15,966,2828,820,15,966,2828,820,152.78,0.0,False,php:8.0-fpm,,debian,"Copa error: time=""2026-03-28T08:03:05Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-php-8.0-fpm-orig:"
php-8.0-fpm,Docker-Scout,False,0.0,SCOUT_NO_REC,4649,4649,0.0,0,15,966,2828,820,15,966,2828,820,152.78,0.0,False,php:8.0-fpm,,debian,No recommendation
php-8.0-fpm,AutoPatch,True,3.71,,4649,13,99.72,2,15,966,2828,820,0,4,9,0,152.78,27.69,True,php:8.0-fpm,php:8.0-fpm-alpine,debian,os=debian
php-8.1,Scan-Only,True,43.13,,1468,1468,0.0,0,3,118,715,615,3,118,715,615,170.62,170.62,False,php:8.1,,debian,
php-8.1,Naive-Latest,True,0.91,,1468,796,45.78,0,3,118,715,615,0,38,156,594,170.62,180.12,False,php:8.1,,debian,
php-8.1,Copacetic,False,0.28,COPA_FAILURE,1468,1468,0.0,0,3,118,715,615,3,118,715,615,170.62,0.0,False,php:8.1,,debian,"Copa error: time=""2026-03-28T08:05:09Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-php-8.1-orig:v3-p"
php-8.1,Docker-Scout,False,0.0,SCOUT_NO_REC,1468,1468,0.0,0,3,118,715,615,3,118,715,615,170.62,0.0,False,php:8.1,,debian,No recommendation
php-8.1,AutoPatch,True,16.51,,1468,37,97.48,2,3,118,715,615,3,6,25,3,170.62,34.01,True,php:8.1,php:8.1-alpine,debian,os=debian
php-8.1-alpine,Scan-Only,True,0.84,,37,37,0.0,0,3,6,25,3,3,6,25,3,34.01,34.01,False,php:8.1-alpine,,alpine,
php-8.1-alpine,Naive-Latest,True,0.8,,37,796,-2051.35,365,3,6,25,3,0,38,156,594,34.01,180.12,False,php:8.1-alpine,,alpine,
php-8.1-alpine,Copacetic,False,0.16,COPA_FAILURE,37,37,0.0,0,3,6,25,3,3,6,25,3,34.01,0.0,False,php:8.1-alpine,,alpine,"Copa error: time=""2026-03-28T08:06:46Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-php-8.1-alpine-or"
php-8.1-alpine,Docker-Scout,False,0.0,SCOUT_NO_REC,37,37,0.0,0,3,6,25,3,3,6,25,3,34.01,0.0,False,php:8.1-alpine,,alpine,No recommendation
php-8.1-alpine,AutoPatch,True,0.83,,37,37,0.0,0,3,6,25,3,3,6,25,3,34.01,34.01,False,php:8.1-alpine,php:8.1-alpine,alpine,os=alpine
php-8.2,Scan-Only,True,41.67,,796,796,0.0,0,0,38,156,594,0,38,156,594,171.35,171.35,False,php:8.2,,debian,
php-8.2,Naive-Latest,True,0.89,,796,796,0.0,0,0,38,156,594,0,38,156,594,171.35,180.12,False,php:8.2,,debian,
php-8.2,Copacetic,False,10.9,COPA_RESCAN_FAILED,796,796,0.0,0,0,38,156,594,0,38,156,594,171.35,0.0,False,php:8.2,,debian,Copa patched but Trivy re-scan failed — not counted as success
php-8.2,Docker-Scout,False,0.0,SCOUT_NO_REC,796,796,0.0,0,0,38,156,594,0,38,156,594,171.35,0.0,False,php:8.2,,debian,No recommendation
php-8.2,AutoPatch,True,4.63,,796,2,99.75,1,0,38,156,594,0,1,1,0,171.35,35.19,True,php:8.2,php:8.2-alpine,debian,os=debian
postgres-11,Scan-Only,True,25.71,,202,202,0.0,0,8,85,59,50,8,85,59,50,102.49,102.49,False,postgres:11,,debian,
postgres-11,Naive-Latest,True,52.43,,202,163,19.31,55,8,85,59,50,1,12,25,125,102.49,154.78,False,postgres:11,,debian,
postgres-11,Copacetic,False,0.23,COPA_FAILURE,202,202,0.0,0,8,85,59,50,8,85,59,50,102.49,0.0,False,postgres:11,,debian,"Copa error: time=""2026-03-28T08:10:59Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-postgres-11-orig:"
postgres-11,Docker-Scout,False,0.0,SCOUT_NO_REC,202,202,0.0,0,8,85,59,50,8,85,59,50,102.49,0.0,False,postgres:11,,debian,No recommendation
postgres-11,AutoPatch,True,14.48,,202,21,89.6,2,8,85,59,50,1,6,13,1,102.49,105.95,True,postgres:11,postgres:17-alpine,debian,os=debian
